IP_Address | Date | Time | Method | URL | HTTP_Version | Status_Code | Response_Size
174.105.51.250 | 20/Jan/2023 | 11:37:58 | PUT | /analysis.html | HTTP/1.1 | 400 | 3875
159.126.91.76 | 06/Mar/1979 | 22:58:44 | PUT | /upon.html | HTTP/1.1 | 400 | 1555
223.60.69.143 | 30/Sep/2017 | 05:52:23 | PUT | /reduce.html | HTTP/1.1 | 404 | 117
126.231.126.63 | 27/Oct/1985 | 23:24:07 | GET | /church.html | HTTP/1.1 | 200 | 4415
178.32.233.229 | 24/Dec/1996 | 19:34:48 | DELETE | /area.html | HTTP/1.1 | 400 | 3517
125.30.101.137 | 30/Apr/1998 | 22:13:24 | POST | /between.html | HTTP/1.1 | 301 | 2063
169.94.49.171 | 02/Jan/1992 | 01:38:37 | DELETE | /shoulder.html | HTTP/1.1 | 404 | 1788
49.174.144.87 | 29/May/2016 | 19:16:00 | POST | /point.html | HTTP/1.1 | 404 | 3746
93.201.173.81 | 13/Jun/1991 | 03:58:16 | PATCH | /forward.html | HTTP/1.1 | 301 | 978
70.82.61.153 | 20/Nov/1992 | 15:56:23 | POST | /health.html | HTTP/1.1 | 404 | 2285
145.185.236.243 | 07/Mar/2012 | 04:11:03 | GET | /common.html | HTTP/1.1 | 404 | 3046
156.186.12.94 | 17/Sep/1970 | 23:23:29 | PUT | /late.html | HTTP/1.1 | 400 | 1568
55.162.203.25 | 14/Apr/1972 | 13:54:41 | DELETE | /senior.html | HTTP/1.1 | 400 | 773
197.177.106.9 | 23/Dec/2000 | 13:41:20 | PATCH | /activity.html | HTTP/1.1 | 200 | 1916
11.225.211.95 | 12/Mar/2005 | 21:19:02 | GET | /this.html | HTTP/1.1 | 200 | 4124
135.128.70.203 | 15/Jan/1987 | 22:40:00 | PATCH | /woman.html | HTTP/1.1 | 400 | 2606
157.224.76.28 | 15/Jan/1971 | 00:09:54 | PUT | /of.html | HTTP/1.1 | 301 | 1299
189.167.230.5 | 21/Aug/1985 | 04:31:39 | DELETE | /avoid.html | HTTP/1.1 | 404 | 4683
179.246.21.188 | 16/Nov/1977 | 22:23:36 | PATCH | /term.html | HTTP/1.1 | 400 | 3786
113.208.176.92 | 31/May/2007 | 02:46:38 | DELETE | /main.html | HTTP/1.1 | 500 | 849
